HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1601.00","0","Sausages and similar products, of meat, meat offal, blood or insects; food preparations based on these products:","","","","","",""
"1601.00.20","1","Pork","","0.8¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7.2¢/kg","",""
"1601.00.20.10","2","Canned","[""kg""]","","","","",""
"1601.00.20.90","2","Other","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"1601.00.40","2","Beef in airtight containers","","3.4%","Free (A,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"1601.00.40.10","3","Canned","[""kg""]","","","","",""
"1601.00.40.90","3","Other","[""kg""]","","","","",""
"1601.00.60","2","Other","","3.2%","Free (A,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1601.00.60.20","3","Beef","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"1601.00.60.60","4","Canned","[""kg""]","","","","",""
"1601.00.60.80","4","Other","[""kg""]","","","","",""
"1602","0","Other prepared or preserved meat, meat offal, blood or insects:","","","","","",""
"1602.10","1","Homogenized preparations:","","","","","",""
"1602.10.10.00","2","Put up for retail sale as food suitable for infants or for dietetic purposes","[""kg""]","1.9%","Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","30%","",""
"1602.10.50","2","Put up for retail sale as food suitable for young children","","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1602.10.50.60","3","Canned","[""kg""]","","","","",""
"1602.10.50.80","3","Other","[""kg""]","","","","",""
"1602.20","1","Of liver of any animal:","","","","","",""
"1602.20.20.00","2","Of goose","[""kg""]","4.9¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","22¢/kg","",""
"1602.20.40.00","2","Other","[""kg""]","3.2%","Free (A,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","1","Of poultry of heading 0105:","","","","","",""
"1602.31.00","2","Of turkeys","","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1602.31.00.20","3","Prepared meals","[""kg""]","","","","",""
"1602.31.00.40","3","Other","[""kg""]","","","","",""
"1602.32.00","2","Of chickens","","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","3","Prepared meals:","","","","","",""
"1602.32.00.10","4","In airtight containers","[""kg""]","","","","",""
"1602.32.00.30","4","Other","[""kg""]","","","","",""
"1602.32.00.40","3","Other","[""kg""]","","","","",""
"1602.39.00","2","Other","","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","3","Prepared meals:","","","","","",""
"1602.39.00.15","4","In airtight containers","[""kg""]","","","","",""
"1602.39.00.35","4","Other","[""kg""]","","","","",""
"1602.39.00.45","3","Other","[""kg""]","","","","",""
"","1","Of swine:","","","","","",""
"1602.41","2","Hams and cuts thereof:","","","","","",""
"1602.41.10.00","3","Containing cereals or vegetables","[""kg""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","3","Other:","","","","","",""
"1602.41.20","4","Boned and cooked and packed in airtight containers","","5.3¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"1602.41.20.20","5","In containers holding less than 1 kg","[""kg""]","","","","",""
"1602.41.20.40","5","Other","[""kg""]","","","","",""
"1602.41.90.00","4","Other","[""kg""]","1.4¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","7.2¢/kg","",""
"1602.42","2","Shoulders and cuts thereof:","","","","","",""
"1602.42.20","3","Boned and cooked and packed in airtight containers","","4.2¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"1602.42.20.20","4","In containers holding less than 1 kg","[""kg""]","","","","",""
"1602.42.20.40","4","Other","[""kg""]","","","","",""
"1602.42.40.00","3","Other","[""kg""]","1.4¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","7.2¢/kg","",""
"1602.49","2","Other, including mixtures:","","","","","",""
"1602.49.10.00","3","Offal","[""kg""]","3.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","3","Other:","","","","","",""
"","4","Not containing cereals or vegetables:","","","","","",""
"1602.49.20.00","5","Boned and cooked and packed in air- tight containers","[""kg""]","4.2¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"1602.49.40.00","5","Other","[""kg""]","1.4¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7.2¢/kg","",""
"","4","Other:","","","","","",""
"1602.49.60.00","5","Mixtures of pork and beef","[""kg""]","3.2%","Free (A,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1602.49.90.00","5","Other","[""kg""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1602.50","1","Of bovine animals :","","","","","",""
"1602.50.05.00","2","Offal","[""kg""]","2.3%","Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","2","Other:","","","","","",""
"","3","Not containing cereals or vegetables:","","","","","",""
"","4","Cured or pickled:","","","","","",""
"1602.50.07","5","Corned beef in airtight containers","","Free","","30%","",""
"1602.50.07.20","6","In containers holding less than 1 kg","[""kg""]","","","","",""
"1602.50.07.40","6","Other","[""kg""]","","","","",""
"1602.50.08.00","5","Other","[""kg""]","4.5%","Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","4","Other:","","","","","",""
"1602.50.21","5","In airtight containers","","1.4%","Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"1602.50.21.20","6","In containers holding less than 1 kg","[""kg""]","","","","",""
"1602.50.21.40","6","Other","[""kg""]","","","","",""
"1602.50.60.00","5","Other","[""kg""]","1.8%","Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","20%","",""
"1602.50.90","3","Other","","2.5%","Free (A,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1602.50.90.20","4","Prepared meals","[""kg""]","","","","",""
"1602.50.90.40","4","Other","[""kg""]","","","","",""
"1602.90","1","Other, including preparations of blood of any animal:","","","","","",""
"1602.90.10.00","2","Frog meat","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1602.90.91","2","Other","","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1602.90.91.60","3","Canned","[""kg""]","","","","",""
"1602.90.91.80","3","Other","[""kg""]","","","","",""
"1603.00","0","Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates:","","","","","",""
"1603.00.10.00","1","Clam juice","[""kg""]","8.5%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","35%","",""
"1603.00.90","1","Other","","Free","","13%","",""
"1603.00.90.10","2","Of meat","[""kg""]","","","","",""
"1603.00.90.90","2","Other","[""kg""]","","","","",""
"1604","0","Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs:","","","","","",""
"","1","Fish, whole or in pieces, but not minced:","","","","","",""
"1604.11","2","Salmon:","","","","","",""
"1604.11.20","3","In oil, in airtight containers","","6%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"1604.11.20.20","4","Pink (humpie)","[""kg""]","","","","",""
"1604.11.20.30","4","Sockeye","[""kg""]","","","","",""
"1604.11.20.90","4","Other","[""kg""]","","","","",""
"1604.11.40","3","Other","","Free","","25%","",""
"","4","Canned:","","","","","",""
"1604.11.40.10","5","Chum (dog)","[""kg""]","","","","",""
"1604.11.40.20","5","Pink (humpie)","[""kg""]","","","","",""
"1604.11.40.30","5","Sockeye","[""kg""]","","","","",""
"1604.11.40.40","5","Other","[""kg""]","","","","",""
"1604.11.40.50","4","Other","[""kg""]","","","","",""
"1604.12","2","Herrings:","","","","","",""
"1604.12.20.00","3","In oil, in airtight containers","[""kg""]","4%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","30%","",""
"","3","Other:","","","","","",""
"1604.12.40.00","4","In tomato sauce, smoked or kippered, and in immediate containers weighing with their contents over 0.45 kg each","[""kg""]","Free","","25%","",""
"1604.12.60","4","Other","","Free","","25%","",""
"","5","Pickled:","","","","","",""
"1604.12.60.10","6","Fillets","[""kg""]","","","","",""
"1604.12.60.30","6","Other","[""kg""]","","","","",""
"","5","Other:","","","","","",""
"1604.12.60.50","6","Kipper snacks","[""kg""]","","","","",""
"1604.12.60.90","6","Other","[""kg""]","","","","",""
"1604.13","2","Sardines, sardinella and brisling or sprats:","","","","","",""
"","3","In oil, in airtight containers:","","","","","",""
"1604.13.10.00","4","Smoked sardines, neither skinned nor boned, valued $1 or more per kg in tin- plate containers, or $1.10 or more per kg in other containers","[""kg""]","Free","","30%","",""
"","4","Other:","","","","","",""
"1604.13.20.00","5","Neither skinned nor boned","[""kg""]","15%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"1604.13.30.00","5","Skinned or boned","[""kg""]","20%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","3","Other:","","","","","",""
"1604.13.40.00","4","In immediate containers weighing with their contents under 225 grams each","[""kg""]","Free","","25%","",""
"1604.13.90.00","4","Other","[""kg""]","3.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"1604.14","2","Tunas, skipjack tuna and bonito (<i>Sarda spp</i>.):","","","","","",""
"","3","Tunas and skipjack:","","","","","",""
"","4","In airtight containers:","","","","","",""
"1604.14.10","5","In oil","","35%","Free (A+,AU,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","45%","",""
"1604.14.10.10","6","In foil or other flexible containers weighing with their contents not more than 6.8 kg each","[""kg""]","","","","",""
"","6","Other:","","","","","",""
"1604.14.10.91","7","Albacore","[""kg""]","","","","",""
"1604.14.10.99","7","Other","[""kg""]","","","","",""
"","5","Not in oil:","","","","","",""
"1604.14.22","6","In containers weighing with their contents not over 7 kg each, and not the product of any insular possession of the United States, for an aggregate quantity entered in any calendar year not to exceed 4.8 percent of apparent United States consumption of tuna in airtight containers during the immediately preceding year, as reported by the National Marine Fisheries Service","","6%","Free (A+,AU,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","25%","",""
"","7","Albacore (<u>Thunnus</u> <u>alalunga</u>):","","","","","",""
"1604.14.22.51","8","In foil or other flexible con- tainers weighing with their contents not more than <il>6.8 kg each</il>","[""kg""]","","","","",""
"1604.14.22.59","8","Other","[""kg""]","","","","",""
"","7","Other:","","","","","",""
"1604.14.22.91","8","In foil or other flexible con- tainers weighing with their contents not more than 6.8 kg each","[""kg""]","","","","",""
"1604.14.22.99","8","Other","[""kg""]","","","","",""
"1604.14.30","6","Other","","12.5%","Free (A+,AU,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","25%","",""
"","7","Albacore (<u>Thunnus</u> <u>alalunga)</u>:","","","","","",""
"1604.14.30.51","8","In foil or other flexible con- tainers weighing with their contents not more than 6.8 kg each","[""kg""]","","","","",""
"1604.14.30.59","8","Other","[""kg""]","","","","",""
"","7","Other:","","","","","",""
"1604.14.30.91","8","In foil or other flexible con- tainers weighing with their contents not more than 6.8 kg each","[""kg""]","","","","",""
"1604.14.30.99","8","Other","[""kg""]","","","","",""
"","4","Not in airtight containers:","","","","","",""
"1604.14.40.00","5","In bulk or in immediate containers weighing with their contents over <il>6.8 kg</il> each, not in oil","[""kg""]","1.1¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","2.8¢/kg","",""
"1604.14.50.00","5","Other","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","3","Bonito (<u>Sarda</u> <i>spp</i>.):","","","","","",""
"1604.14.70.00","4","In oil","[""kg""]","4.9%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"1604.14.80.00","4","Not in oil","[""kg""]","6%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"1604.15.00.00","2","Mackerel","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"1604.16","2","Anchovies:","","","","","",""
"1604.16.20.00","3","In oil, in airtight containers","[""kg""]","Free","","30%","",""
"","3","Other:","","","","","",""
"1604.16.40.00","4","In immediate containers weighing with their contents 6.8 kg or less each","[""kg""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"1604.16.60.00","4","Other","[""kg""]","Free","","2.5%","",""
"1604.17","2","Eels:","","","","","",""
"1604.17.10.00","3","In airtight containers","[""kg""]","4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","3","Other:","","","","","",""
"","4","Fish sticks and similar products of any size or shape, fillets or other portions of fish, if breaded, coated with batter or similarly prepared:","","","","","",""
"1604.17.40.00","5","Neither cooked nor in oil","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1604.17.50.00","5","Other","[""kg""]","7.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","4","Other:","","","","","",""
"1604.17.60.00","5","In oil and in bulk or in immediate containers over 7 kg each","[""kg""]","Free","","2.8¢/kg","",""
"1604.17.80.00","5","Other","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"1604.18","2","Shark fins:","","","","","",""
"1604.18.10.00","3","In airtight containers","[""kg""]","4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"1604.18.90.00","3","Other","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"1604.19","2","Other (including yellowtail):","","","","","",""
"","3","In airtight containers:","","","","","",""
"","4","Not in oil:","","","","","",""
"1604.19.10.00","5","Bonito, yellowtail and pollock","[""kg""]","4%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"1604.19.22.00","5","Other","[""kg""]","4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","In oil:","","","","","",""
"1604.19.25.00","5","Bonito, yellowtail and pollock","[""kg""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"1604.19.32.00","5","Other","[""kg""]","4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","3","Other:","","","","","",""
"","4","Fish sticks and similar products of any size or shape, fillets or other portions of fish, if breaded, coated with batter or similarly prepared:","","","","","",""
"1604.19.41.00","5","Neither cooked nor in oil","[""kg""]","10%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1604.19.51.00","5","Other","[""kg""]","7.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","4","Other:","","","","","",""
"1604.19.61.00","5","In oil and in bulk or in immediate containers weighing with their contents over <il>7 kg</il> each","[""kg""]","Free","","2.8¢/kg","",""
"1604.19.82.00","5","Other","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"1604.20","1","Other prepared or preserved fish:","","","","","",""
"1604.20.05","2","Products containing meat of crustaceans, molluscs or other aquatic invertebrates; prepared meals","","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1604.20.05.10","3","Prepared meals","[""kg""]","","","","",""
"1604.20.05.90","3","Other","[""kg""]","","","","",""
"","2","Other:","","","","","",""
