HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"3101.00.00.00","0","Animal or vegetable fertilizers, whether or not mixed together or chemically treated; fertilizers produced by the mixing or chemical treatment of animal or vegetable products","[""t""]","Free","","Free","",""
"3102","0","Mineral or chemical fertilizers, nitrogenous:","","","","","",""
"3102.10.00","1","Urea, whether or not in aqueous solution","","Free","","Free","",""
"3102.10.00.10","2","Solid urea","[""t""]","","","","",""
"","2","Other:","","","","","",""
"3102.10.00.30","3","Diesel exhaust fluid (DEF) of a kind meeting ISO 22241","[""t""]","","","","",""
"3102.10.00.50","3","Other","[""t""]","","","","",""
"","1","Ammonium sulfate; double salts and mixtures of ammonium sulfate and ammonium nitrate:","","","","","",""
"3102.21.00.00","2","Ammonium sulfate","[""t""]","Free","","Free","",""
"3102.29.00.00","2","Other","[""t""]","Free","","Free","",""
"3102.30.00.00","1","Ammonium nitrate, whether or not in aqueous solution","[""t""]","Free","","Free","",""
"3102.40.00.00","1","Mixtures of ammonium nitrate with calcium carbonate or other inorganic nonfertilizing substances","[""t""]","Free","","Free","",""
"3102.50.00.00","1","Sodium nitrate","[""t""]","Free","","Free","",""
"3102.60.00.00","1","Double salts and mixtures of calcium nitrate and ammonium nitrate","[""t""]","Free","","Free","",""
"3102.80.00.00","1","Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution","[""t""]","Free","","Free","",""
"3102.90.01.00","1","Other, including mixtures not specified in the foregoing subheadings","[""t""]","Free","","Free","",""
"3103","0","Mineral or chemical fertilizers, phosphatic:","","","","","",""
"","1","Superphosphates:","","","","","",""
"3103.11.00.00","2","Containing by weight 35 percent or more of diphosphorous pentaoxide (P<sub>2</sub>O<sub>5</sub>)","[""t""]","Free","","Free","",""
"3103.19.00.00","2","Other","[""t""]","Free","","Free","",""
"3103.90.01.00","1","Other","[""t""]","Free","","Free","",""
"3104","0","Mineral or chemical fertilizers, potassic:","","","","","",""
"3104.20.00","1","Potassium chloride","","Free","","Free","",""
"3104.20.00.10","2","Containing not more than 62 percent by weight of potassium oxide (K<sub style=""font-size: 9.75px;"">2</sub>O)","[""t""]","","","","",""
"3104.20.00.50","2","Containing more than 62 percent by weight of potassium oxide (K<sub style=""font-size: 9.75px;"">2</sub>O)","[""t""]","","","","",""
"3104.30.00.00","1","Potassium sulfate","[""t""]","Free","","Free","",""
"3104.90.01.00","1","Other","[""t""]","Free","","Free","",""
"3105","0","Mineral or chemical fertilizers containing two or three of the fertilizing elements nitrogen, phosphorus and potassium; other fertilizers; goods of this chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg:","","","","","",""
"3105.10.00.00","1","Products of this chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg","[""kg""]","Free","","Free","",""
"3105.20.00.00","1","Mineral or chemical fertilizers containing the three fertilizing elements nitrogen, phosphorus and potassium","[""t""]","Free","","Free","",""
"3105.30.00.00","1","Diammonium hydrogenorthophosphate (Diammonium phosphate)","[""t""]","Free","","Free","",""
"3105.40.00","1","Ammonium dihydrogenorthophosphate (Monoammonium phosphate) and mixtures thereof with diammonium hydrogenorthophosphate (Diammonium phosphate)","","Free","","Free","",""
"3105.40.00.10","2","Ammonium dihydrogenorthophosphate (Monoammonium phosphate)","[""t""]","","","","",""
"3105.40.00.50","2","Other","[""t""]","","","","",""
"","1","Other mineral or chemical fertilizers containing the two fertilizing elements nitrogen and phosphorus:","","","","","",""
"3105.51.00.00","2","Containing nitrates and phosphates","[""t""]","Free","","Free","",""
"3105.59.00.00","2","Other","[""t""]","Free","","Free","",""
"3105.60.00.00","1","Mineral or chemical fertilizers containing the two fertilizing elements phosphorus and potassium","[""t""]","Free","","Free","",""
"3105.90.00","1","Other","","Free","","Free","",""
"3105.90.00.10","2","Potassium nitrate-sodium nitrate mixtures","[""t""]","","","","",""
"3105.90.00.50","2","Other","[""t""]","","","","",""
"3201","0","Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives:","","","","","",""
"3201.10.00.00","1","Quebracho extract","[""kg""]","Free","","Free","",""
"3201.20.00.00","1","Wattle extract","[""kg""]","Free","","Free","",""
"3201.90","1","Other:","","","","","",""
"3201.90.10.00","2","Tannic acid, containing by weight 50 percent or more of tannic acid","[""kg""]","1.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","8%","",""
"3201.90.25.00","2","Extracts of canaigre, chestnut, curupay, divi-divi, eucalyptus, gambier, hemlock, larch, mangrove, myrobalan, oak, sumac, tara, urunday or valonia","[""kg""]","Free","","Free","",""
"3201.90.50.00","2","Other","[""kg""]","3.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15%","",""
"3202","0","Synthetic organic tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pre-tanning:","","","","","",""
"3202.10","1","Synthetic organic tanning substances:","","","","","",""
"3202.10.10.00","2","Aromatic or modified aromatic","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 48.5%","",""
"3202.10.50.00","2","Other","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM, P,PA,PE,S,SG)","41.5%","",""
"3202.90","1","Other:","","","","","",""
"3202.90.10.00","2","Consisting wholly of inorganic subtances","[""kg""]","Free","","25%","",""
"3202.90.50.00","2","Other","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3203.00","0","Coloring matter of vegetable or animal origin (including dyeing extracts but excluding animal black), whether or not chemically defined; preparations as specified in note 3 to this chapter based on coloring matter of vegetable or animal origin:","","","","","",""
"3203.00.10.00","1","Annato, archil, cochineal, cudbear, litmus, logwood and marigold meal","[""kg""]","Free","","Free","",""
"3203.00.30.00","1","Mixtures of 3,4-dihydroxyphenyl-2,4,6-trihydroxy- phenylmethanone and 2-(2,4-dihydroxyphenyl)-3,5,7- trihydroxy-4H-1-benzopyran-4-one","[""kg""]","Free","","15%","",""
"3203.00.80.00","1","Other","[""kg""]","3.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","15%","",""
"3204","0","Synthetic organic coloring matter, whether or not chemically defined; preparations as specified in note 3 to this chapter based on synthetic organic coloring matter; synthetic organic products of a kind used as fluorescent brightening agents or as luminophores, whether or not chemically defined:","","","","","",""
"","1","Synthetic organic coloring matter and preparations based thereon as specified in note 3 to this chapter:","","","","","",""
"3204.11","2","Disperse dyes and preparations based thereon:","","","","","",""
"3204.11.10.00","3","Disperse blue 19, 26, 26:1, 35, 55, 56, 58, 72, 73, 79, 83, 84, 93, 95, 122, 125, 126, 128, 148, 154, 165, 180, 183, 185, 200, 284, 285, 288, 289, 295, 296; Disperse brown 19; Disperse green 9; Disperse orange 7, 13, 20, 31, 32, 42, 47, 48, 54, 56, 60, 63, 70, 80, 96, 127, 137, 139; Disperse red 44, 46, 72, 73, 90, 93, 107, 118, 121, 122, 131, 133, 134,151, 169, 184, 185, 202, 203, 224, 277, 278, 279, 282, 288, 303, 310; Disperse violet 23, 33, 35, 48, 57, 63; Disperse yellow 13, 44, 58, 63, 65, 82, 85, 91, 107, 119, 122, 124, 126, 139, 182, 183, 184, 202, 204; Dyes containing, by weight-- 12.7 percent Disperse Yellow 1, 32.3 percent Disperse Orange 1, 19.8 percent Disperse Blue 35, and 35.2 percent Disperse Blue 3; Dyes containing, by weight-- 39.0 percent Disperse Yellow 39, 28.0 percent Disperse Orange 25, and 33.0 percent Disperse Violet 27; Dyes containing, by weight-- 89.4 percent Disperse Violet 27, and 10.6 percent Disperse Green 9; Dyes containing, by weight-- 67.7 percent Disperse Blue 35, 14.2 percent Disperse Yellow 1, and 18.1 percent Disperse Orange 1; Dyes containing, by weight-- 74.3 percent Disperse Blue 285, 18.0 percent Disperse Brown 19, and 7.7 percent Disperse Yellow 126","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG)","52.5%","",""
"3204.11.15.00","3","Disperse blue 30","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA,OM, P, PA,PE,S,SG)","51.9%","",""
"3204.11.18.00","3","N-[2-[(2,6-Dicyano-4-methylphenylazo]-5- (diethylamino)-phenyl] methanesulfonamide; and N-[2-[2,6-Dicyano-4-methylphenylazo]-5- (di-1-propylamino) phenyl]methanesulfonamide","[""kg""]","Free","","63.5%","",""
"","3","Other:","","","","","",""
"3204.11.35.00","4","Products described in additional U.S. note 3 to section VI","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA,OM, P, PA,PE,S,SG)","63.5%","",""
"3204.11.50.00","4","Other","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA,OM, P, PA,PE,S,SG)","63.5%","",""
"3204.12","2","Acid dyes, whether or not premetallized, and preparations based thereon; mordant dyes and preparations based thereon:","","","","","",""
"3204.12.05.00","3","Acid black 210 powder and presscake","[""kg""]","Free","","72%","",""
"3204.12.13.00","3","Acid violet 19","[""kg""]","Free","","51%","",""
