HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6601","0","Umbrellas and sun umbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas):","","","","","",""
"6601.10.00.00","1","Garden or similar umbrellas","[""doz.""]","6.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","1","Other:","","","","","",""
"6601.91.00.00","2","Having a telescopic shaft","[""doz.""]","Free","","40%","",""
"6601.99.00.00","2","Other","[""doz.""]","8.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"6602.00.00.00","0","Walking-sticks, seat-sticks, whips, riding-crops and the like","[""No.""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"6603","0","Parts, trimmings and accessories of articles of heading 6601 or 6602:","","","","","",""
"6603.20","1","Umbrella frames, including frames mounted on shafts (sticks):","","","","","",""
"6603.20.30.00","2","For hand-held umbrellas chiefly used for protection against rain","[""No.""]","Free","","60%","",""
"6603.20.90.00","2","Other","[""No.""]","12%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6603.90","1","Other:","","","","","",""
"6603.90.41.00","2","Umbrella handles, knobs, tips and caps","[""kg""]","Free","","45%","",""
"6603.90.81.00","2","Other","[""kg""]","5.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"6701.00","0","Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading 0505 and worked quills and scapes):","","","","","",""
"6701.00.30.00","1","Articles of feathers or down","[""No.""]","4.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6701.00.60.00","1","Other","[""kg""]","4.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6702","0","Artificial flowers, foliage and fruit and parts thereof; articles made of artificial flowers, foliage or fruit:","","","","","",""
"6702.10","1","Of plastics:","","","","","",""
"6702.10.20.00","2","Assembled by binding with flexible materials such as wire, paper, textile materials, or foil, or by gluing or by similar methods","[""No.""]","8.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6702.10.40.00","2","Other, including parts","[""No.""]","3.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"6702.90","1","Of other materials:","","","","","",""
"6702.90.10.00","2","Of feathers","[""No.""]","4.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"","2","Other:","","","","","",""
"6702.90.35.00","3","Of man-made fibers","[""No.""]","9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","71.5%","",""
"6702.90.65.00","3","Other","[""No.""]","17%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"6703.00","0","Human hair, dressed, thinned, bleached or otherwise worked; wool or other animal hair or other textile materials, prepared for use in making wigs or the like:","","","","","",""
"6703.00.30.00","1","Human hair","[""kg""]","Free","","20%","",""
"6703.00.60.00","1","Other","[""kg""]","Free","","35%","",""
"6704","0","Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or animal hair or of textile materials; articles of human hair not elsewhere specified or included:","","","","","",""
"","1","Of synthetic textile materials:","","","","","",""
"6704.11.00.00","2","Complete wigs","[""No.""]","Free","","35%","",""
"6704.19.00.00","2","Other","[""No.""]","Free","","35%","",""
"6704.20.00.00","1","Of human hair","[""No.""]","Free","","35%","",""
"6704.90.00.00","1","Of other materials","[""No.""]","Free","","35%","",""
"6801.00.00.00","0","Setts, curbstones and flagstones, of natural stone (except slate)","[""t""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
